,Season,Game,Score,Teams,Home Team,Away Team
0,2000-2001,1,1-2,Mallorca - Real Madrid,Mallorca,Real Madrid
1,2000-2001,1,1-2,Valencia - Racing,Valencia,Racing
2,2000-2001,1,1-0,Athletic - Real Betis,Athletic,Real Betis
3,2000-2001,1,0-2,Atlético - Rayo Vallecano,Atlético,Rayo Vallecano
4,2000-2001,1,1-0,Numancia - Real Valladolid,Numancia,Real Valladolid
5,2000-2001,1,2-2,Sevilla - R. Sociedad,Sevilla,R. Sociedad
6,2000-2001,1,1-0,Real Oviedo - Celta,Real Oviedo,Celta
7,2000-2001,1,1-0,Málaga - Espanyol,Málaga,Espanyol
8,2000-2001,1,4-1,Deportivo - Alavés,Deportivo,Alavés
9,2000-2001,1,2-0,Barcelona - Real Zaragoza,Barcelona,Real Zaragoza
10,2000-2001,2,4-1,R. Sociedad - Atlético,R. Sociedad,Atlético
11,2000-2001,2,2-1,Rayo Vallecano - Mallorca,Rayo Vallecano,Mallorca
12,2000-2001,2,0-0,Real Betis - Deportivo,Real Betis,Deportivo
13,2000-2001,2,2-1,Alavés - Málaga,Alavés,Málaga
14,2000-2001,2,1-2,Racing - Barcelona,Racing,Barcelona
15,2000-2001,2,2-1,Celta - Sevilla,Celta,Sevilla
16,2000-2001,2,4-1,Real Madrid - Numancia,Real Madrid,Numancia
17,2000-2001,2,3-2,Espanyol - Valencia,Espanyol,Valencia
18,2000-2001,2,1-0,Real Valladolid - Athletic,Real Valladolid,Athletic
19,2000-2001,2,4-0,Real Zaragoza - Real Oviedo,Real Zaragoza,Real Oviedo
20,2000-2001,3,0-2,Valencia - Alavés,Valencia,Alavés
21,2000-2001,3,2-1,Rayo Vallecano - R. Sociedad,Rayo Vallecano,R. Sociedad
22,2000-2001,3,3-0,Barcelona - Espanyol,Barcelona,Espanyol
23,2000-2001,3,2-0,Deportivo - Real Valladolid,Deportivo,Real Valladolid
24,2000-2001,3,1-2,Real Oviedo - Racing,Real Oviedo,Racing
25,2000-2001,3,2-2,Athletic - Real Madrid,Athletic,Real Madrid
26,2000-2001,3,3-0,Mallorca - Numancia,Mallorca,Numancia
27,2000-2001,3,3-0,Málaga - Real Betis,Málaga,Real Betis
28,2000-2001,3,1-2,Atlético - Celta,Atlético,Celta
29,2000-2001,3,0-0,Sevilla - Real Zaragoza,Sevilla,Real Zaragoza
30,2000-2001,4,1-0,Real Betis - Valencia,Real Betis,Valencia
31,2000-2001,4,2-1,Alavés - Barcelona,Alavés,Barcelona
32,2000-2001,4,2-1,Espanyol - Real Oviedo,Espanyol,Real Oviedo
33,2000-2001,4,4-2,Real Valladolid - Málaga,Real Valladolid,Málaga
34,2000-2001,4,1-1,Real Madrid - Deportivo,Real Madrid,Deportivo
35,2000-2001,4,2-1,R. Sociedad - Mallorca,R. Sociedad,Mallorca
36,2000-2001,4,1-1,Numancia - Athletic,Numancia,Athletic
37,2000-2001,4,2-2,Racing - Sevilla,Racing,Sevilla
38,2000-2001,4,1-1,Real Zaragoza - Atlético,Real Zaragoza,Atlético
39,2000-2001,4,0-1,Celta - Rayo Vallecano,Celta,Rayo Vallecano
40,2000-2001,5,1-1,Málaga - Real Madrid,Málaga,Real Madrid
41,2000-2001,5,0-0,Valencia - Real Valladolid,Valencia,Real Valladolid
42,2000-2001,5,4-1,Barcelona - Real Betis,Barcelona,Real Betis
43,2000-2001,5,0-2,R. Sociedad - Celta,R. Sociedad,Celta
44,2000-2001,5,0-1,Rayo Vallecano - Real Zaragoza,Rayo Vallecano,Real Zaragoza
45,2000-2001,5,2-1,Mallorca - Athletic,Mallorca,Athletic
46,2000-2001,5,0-2,Deportivo - Numancia,Deportivo,Numancia
47,2000-2001,5,1-0,Real Oviedo - Alavés,Real Oviedo,Alavés
48,2000-2001,5,2-0,Atlético - Racing,Atlético,Racing
49,2000-2001,5,1-2,Sevilla - Espanyol,Sevilla,Espanyol
50,2000-2001,6,1-1,Numancia - Málaga,Numancia,Málaga
51,2000-2001,6,0-2,Real Valladolid - Barcelona,Real Valladolid,Barcelona
52,2000-2001,6,3-1,Espanyol - Atlético,Espanyol,Atlético
53,2000-2001,6,1-1,Racing - Rayo Vallecano,Racing,Rayo Vallecano
54,2000-2001,6,2-3,Athletic - Deportivo,Athletic,Deportivo
55,2000-2001,6,2-3,Real Madrid - Valencia,Real Madrid,Valencia
56,2000-2001,6,1-0,Real Betis - Real Oviedo,Real Betis,Real Oviedo
57,2000-2001,6,2-0,Real Zaragoza - R. Sociedad,Real Zaragoza,R. Sociedad
58,2000-2001,6,1-0,Celta - Mallorca,Celta,Mallorca
59,2000-2001,6,0-0,Alavés - Sevilla,Alavés,Sevilla
60,2000-2001,7,3-4,Málaga - Athletic,Málaga,Athletic
61,2000-2001,7,3-0,Sevilla - Real Betis,Sevilla,Real Betis
62,2000-2001,7,2-2,Mallorca - Deportivo,Mallorca,Deportivo
63,2000-2001,7,1-0,Atlético - Alavés,Atlético,Alavés
64,2000-2001,7,2-2,Barcelona - Real Madrid,Barcelona,Real Madrid
65,2000-2001,7,1-1,Real Oviedo - Real Valladolid,Real Oviedo,Real Valladolid
66,2000-2001,7,2-1,Rayo Vallecano - Espanyol,Rayo Vallecano,Espanyol
67,2000-2001,7,2-1,Celta - Real Zaragoza,Celta,Real Zaragoza
68,2000-2001,7,4-0,Valencia - Numancia,Valencia,Numancia
69,2000-2001,7,2-5,R. Sociedad - Racing,R. Sociedad,Racing
70,2000-2001,8,2-1,Real Betis - Atlético,Real Betis,Atlético
71,2000-2001,8,3-0,Racing - Celta,Racing,Celta
72,2000-2001,8,1-0,Athletic - Valencia,Athletic,Valencia
73,2000-2001,8,3-3,Numancia - Barcelona,Numancia,Barcelona
74,2000-2001,8,2-2,Real Madrid - Real Oviedo,Real Madrid,Real Oviedo
75,2000-2001,8,3-0,Real Zaragoza - Mallorca,Real Zaragoza,Mallorca
76,2000-2001,8,0-0,Espanyol - R. Sociedad,Espanyol,R. Sociedad
77,2000-2001,8,2-1,Real Valladolid - Sevilla,Real Valladolid,Sevilla
78,2000-2001,8,0-1,Alavés - Rayo Vallecano,Alavés,Rayo Vallecano
79,2000-2001,8,4-1,Deportivo - Málaga,Deportivo,Málaga
80,2000-2001,9,2-0,Valencia - Deportivo,Valencia,Deportivo
81,2000-2001,9,1-1,Sevilla - Real Madrid,Sevilla,Real Madrid
82,2000-2001,9,4-0,Barcelona - Athletic,Barcelona,Athletic
83,2000-2001,9,1-1,R. Sociedad - Alavés,R. Sociedad,Alavés
84,2000-2001,9,2-1,Mallorca - Málaga,Mallorca,Málaga
85,2000-2001,9,1-0,Real Oviedo - Numancia,Real Oviedo,Numancia
86,2000-2001,9,3-1,Atlético - Real Valladolid,Atlético,Real Valladolid
87,2000-2001,9,1-3,Rayo Vallecano - Real Betis,Rayo Vallecano,Real Betis
88,2000-2001,9,4-1,Real Zaragoza - Racing,Real Zaragoza,Racing
89,2000-2001,9,2-1,Celta - Espanyol,Celta,Espanyol
90,2000-2001,10,2-1,Deportivo - Barcelona,Deportivo,Barcelona
91,2000-2001,10,1-3,Real Madrid - Atlético,Real Madrid,Atlético
92,2000-2001,10,1-1,Málaga - Valencia,Málaga,Valencia
93,2000-2001,10,1-1,Espanyol - Real Zaragoza,Espanyol,Real Zaragoza
94,2000-2001,10,2-0,Numancia - Sevilla,Numancia,Sevilla
95,2000-2001,10,1-2,Real Valladolid - Rayo Vallecano,Real Valladolid,Rayo Vallecano
96,2000-2001,10,1-0,Alavés - Celta,Alavés,Celta
97,2000-2001,10,1-1,Racing - Mallorca,Racing,Mallorca
98,2000-2001,10,1-1,Athletic - Real Oviedo,Athletic,Real Oviedo
99,2000-2001,10,1-0,Real Betis - R. Sociedad,Real Betis,R. Sociedad
100,2000-2001,11,2-3,Rayo Vallecano - Real Madrid,Rayo Vallecano,Real Madrid
101,2000-2001,11,2-2,Atlético - Numancia,Atlético,Numancia
102,2000-2001,11,1-2,Barcelona - Málaga,Barcelona,Málaga
103,2000-2001,11,1-0,Mallorca - Valencia,Mallorca,Valencia
104,2000-2001,11,0-1,Real Oviedo - Deportivo,Real Oviedo,Deportivo
105,2000-2001,11,0-0,Sevilla - Athletic,Sevilla,Athletic
106,2000-2001,11,5-1,Celta - Real Betis,Celta,Real Betis
107,2000-2001,11,2-1,Real Zaragoza - Alavés,Real Zaragoza,Alavés
108,2000-2001,11,2-2,Racing - Espanyol,Racing,Espanyol
109,2000-2001,11,3-0,R. Sociedad - Real Valladolid,R. Sociedad,Real Valladolid
110,2000-2001,12,3-1,Valencia - Barcelona,Valencia,Barcelona
111,2000-2001,12,4-2,Athletic - Atlético,Athletic,Atlético
112,2000-2001,12,2-0,Real Betis - Real Zaragoza,Real Betis,Real Zaragoza
113,2000-2001,12,5-2,Deportivo - Sevilla,Deportivo,Sevilla
114,2000-2001,12,4-0,Málaga - Real Oviedo,Málaga,Real Oviedo
115,2000-2001,12,3-1,Numancia - Rayo Vallecano,Numancia,Rayo Vallecano
116,2000-2001,12,1-3,Real Valladolid - Celta,Real Valladolid,Celta
117,2000-2001,12,1-2,Espanyol - Mallorca,Espanyol,Mallorca
118,2000-2001,12,1-1,Real Madrid - R. Sociedad,Real Madrid,R. Sociedad
119,2000-2001,12,2-1,Alavés - Racing,Alavés,Racing
120,2000-2001,13,0-0,Sevilla - Málaga,Sevilla,Málaga
121,2000-2001,13,1-3,Atlético - Deportivo,Atlético,Deportivo
122,2000-2001,13,1-2,Rayo Vallecano - Athletic,Rayo Vallecano,Athletic
123,2000-2001,13,3-2,Mallorca - Barcelona,Mallorca,Barcelona
124,2000-2001,13,0-0,Real Oviedo - Valencia,Real Oviedo,Valencia
125,2000-2001,13,2-1,R. Sociedad - Numancia,R. Sociedad,Numancia
126,2000-2001,13,1-0,Celta - Real Madrid,Celta,Real Madrid
127,2000-2001,13,1-1,Real Zaragoza - Real Valladolid,Real Zaragoza,Real Valladolid
128,2000-2001,13,2-3,Espanyol - Alavés,Espanyol,Alavés
129,2000-2001,13,1-1,Racing - Real Betis,Racing,Real Betis
130,2000-2001,14,1-5,Real Madrid - Real Zaragoza,Real Madrid,Real Zaragoza
